Intra-LLM Dispersion Metrics

    llm                                                  cosine_low_overall    cosine_medium_overall    cosine_high_overall    mean_cosine_to_centroid_low    std_cosine_to_centroid_low    mean_cosine_to_centroid_medium    std_cosine_to_centroid_medium    mean_cosine_to_centroid_high    std_cosine_to_centroid_high    mean_cosine_to_centroid_overall    std_cosine_to_centroid_overall
14  meta-llama_Llama-3.2-11B-Vision-Instruct                       0.82764                  0.927583               0.933887                       0.572108                     0.0683584                          0.501748                        0.0488967                        0.349724                      0.0878745                           0.387248                         0.109691
15  meta-llama_Llama-3.2-3B-Instruct                               0.823121                 0.920615               0.955256                       0.561227                     0.0786361                          0.477762                        0.0672355                        0.364752                      0.0829286                           0.390765                         0.0988517
16  meta-llama_Llama-3.2-90B-Vision-Instruct                       0.83349                  0.94389                0.957438                       0.644321                     0.0454172                          0.514656                        0.0518456                        0.426513                      0.0456345                           0.448862                         0.0732815
17  meta-llama_Meta-Llama-3-8B-Instruct                            0.831177                 0.911227               0.948128                       0.540422                     0.0510406                          0.43466                         0.0453082                        0.344975                      0.0673533                           0.364236                         0.0813664
18  meta-llama_Meta-Llama-3.1-70B-Instruct-Turbo                   0.841361                 0.93265                0.958532                       0.648433                     0.0711734                          0.512279                        0.0409983                        0.419834                      0.0753306                           0.444402                         0.0892789
19  meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo                    0.830619                 0.882501               0.900304                       0.565802                     0.0483549                          0.436073                        0.0559847                        0.299749                      0.0625727                           0.331299                         0.104599
20  microsoft_phi-4                                                0.80384                  0.901235               0.904684                       0.593285                     0.040299                           0.461779                        0.0431389                        0.31319                       0.0656474                           0.348943                         0.0973292
21  microsoft_WizardLM-2-8x22B                                     0.877845                 0.941231               0.976154                       0.547688                     0.0417219                          0.490753                        0.0409812                        0.432407                      0.038085                            0.441856                         0.0467278
22  mistralai_Devstral-Small-2507                                  0.870007                 0.926868               0.933827                       0.574766                     0.0746089                          0.495297                        0.0842879                        0.350775                      0.106552                            0.389779                         0.129673
23  mistralai_Mistral-Small-3.2-24B-Instruct-2506                  0.8616                   0.938617               0.937336                       0.650082                     0.0603685                          0.491402                        0.0727164                        0.347152                      0.10635                             0.39774                          0.137364
24  mistralai_Mistral-7B-Instruct-v0.3                             0.764607                 0.915653               0.926248                       0.559465                     0.0330759                          0.467926                        0.0799206                        0.334194                      0.104875                            0.360411                         0.109156
25  mistralai_Mistral-Nemo-Instruct-2407                           0.83145                  0.900366               0.928185                       0.506649                     0.0307869                          0.425592                        0.0471952                        0.298952                      0.0719135                           0.328223                         0.0912246
26  mistralai_Mistral-Small-3.1-24B-Instruct-2503                  0.828886                 0.9169                 0.940932                       0.539091                     0.0422326                          0.444993                        0.0576014                        0.342208                      0.0870586                           0.364407                         0.0949367
27  mistralai_Mixtral-8x7B-Instruct-v0.1                           0.824703                 0.906862               0.944936                       0.497815                     0.0471903                          0.446367                        0.0710252                        0.34845                       0.0566945                           0.362455                         0.0724637
28  deepseek-ai_DeepSeek-R1-0528                                   0.817197                 0.888144               0.91856                        0.541966                     0.060684                           0.45489                         0.0737776                        0.338973                      0.139776                            0.356626                         0.128598
29  deepseek-ai_DeepSeek-V3-0324                                   0.899549                 0.93334                0.969476                       0.552405                     0.0792808                          0.542005                        0.0893788                        0.446673                      0.115392                            0.462974                         0.108542
